    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     215.00       1.225       1.601       1.036       0.471       0.377       0.162       4.871
     215.16       1.226       1.603       1.037       0.471       0.377       0.161       4.876
     216.88       1.240       1.622       1.049       0.477       0.334       0.155       4.925
     216.90       1.240       1.622       1.050       0.477       0.334       0.155       4.926
     217.00       1.241       1.623       1.050       0.477       0.334       0.155       4.929
     218.19       1.251       1.636       1.059       0.481       0.337       0.151       4.963
     218.21       1.251       1.636       1.059       0.481       0.337       0.151       4.964
     219.09       1.259       1.646       1.065       0.484       0.339       0.148       4.989
     219.13       1.259       1.646       1.065       0.484       0.339       0.147       4.990
     220.00       1.266       1.656       1.072       0.487       0.341       0.144       5.015
     220.08       1.267       1.657       1.072       0.487       0.341       0.144       5.017
     221.26       1.277       1.719       1.080       0.491       0.344       0.140       5.051
     221.40       1.278       1.720       1.081       0.492       0.344       0.139       5.055
     221.44       1.278       1.721       1.082       0.492       0.344       0.139       5.056
     221.51       1.279       1.722       1.082       0.492       0.344       0.139       5.058
     221.82       1.282       1.716       1.084       0.493       0.345       0.138       5.067
     223.26       1.294       1.692       1.095       0.498       0.348       0.132       5.107
     223.72       1.297       1.746       1.098       0.499       0.349       0.130       5.120
     224.74       1.306       1.758       1.105       0.502       0.352       0.127       5.149
     224.81       1.307       1.759       1.106       0.503       0.352       0.126       5.151
     225.00       1.308       1.761       1.107       0.503       0.352       0.126       5.157
     225.12       1.309       1.762       1.108       0.503       0.352       0.125       5.160
     227.01       1.325       1.783       1.121       0.510       0.357       0.118       5.213
     227.19       1.326       1.786       1.122       0.510       0.357       0.117       5.218
     227.47       1.329       1.789       1.124       0.511       0.358       0.116       5.226
     228.70       1.339       1.802       1.133       0.515       0.360       0.111       5.261
     228.79       1.340       1.804       1.134       0.515       0.361       0.110       5.263
     229.60       1.347       1.813       1.139       0.518       0.363       0.107       5.286
     230.00       1.350       1.817       1.142       0.519       0.363       0.105       5.297
     230.65       1.355       1.824       1.147       0.521       0.365       0.103       5.315
     231.55       1.363       1.835       1.206       0.524       0.367       0.099       5.340
     232.60       1.372       1.846       1.213       0.528       0.369       0.094       5.369
     233.84       1.382       1.860       1.222       0.532       0.372       0.089       5.404
     234.38       1.386       1.866       1.226       0.533       0.373       0.086       5.419
     235.00       1.392       1.873       1.231       0.535       0.375       0.084       5.436
     235.55       1.396       1.880       1.235       0.537       0.376       0.081       5.451
     237.33       1.411       1.900       1.248       0.543       0.380       0.073       5.500
     237.36       1.411       1.900       1.248       0.543       0.380       0.073       5.501
     238.40       1.420       1.912       1.256       0.546       0.382       0.068       5.530
     239.87       1.432       1.928       1.267       0.551       0.386       0.061       5.570
     240.00       1.433       1.930       1.268       0.551       0.386       0.060       5.573
     240.71       1.439       1.938       1.273       0.554       0.388       0.057       5.593
     240.73       1.439       1.938       1.273       0.554       0.388       0.057       5.593
     241.74       1.423       1.949       1.281       0.557       0.390       0.052       5.621
     243.03       1.403       1.964       1.290       0.561       0.393       0.045       5.656
     243.86       1.409       1.973       1.297       0.564       0.395       0.041       5.678
     244.92       1.418       1.985       1.304       0.567       0.397       0.036       5.707
     245.00       1.418       1.986       1.305       0.567       0.397       0.036       5.709
     245.94       1.426       1.996       1.312       0.570       0.399       0.031       5.735
