    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
     685.50       6.940      17.736       0.000       0.000       0.000       0.000      24.675
     685.60       7.182      19.418       0.000       0.000       0.000       0.000      26.600
     685.71       6.939      18.550       0.000       0.000       0.000       0.000      25.490
     685.80       6.737      17.845       0.000       0.000       0.000       0.000      24.582
     686.00       6.275      16.288       0.000       0.000       0.000       0.000      22.564
     686.10       6.039      15.516       0.000       0.000       0.000       0.000      21.555
     686.30       5.553      13.984       0.000       0.000       0.000       0.000      19.536
     686.60       4.793      11.717       0.000       0.000       0.000       0.000      16.509
     686.70       4.531      10.969       0.000       0.000       0.000       0.000      15.500
     687.00       3.984       9.366       0.000       0.000       0.000       0.000      13.350
     687.30       3.411       7.789       0.000       0.000       0.000       0.000      11.200
     687.90       3.951       8.524       0.000       0.000       0.000       0.000      12.475
     688.00       4.044       8.643       0.000       0.000       0.000       0.000      12.688
     688.10       4.138       8.762       0.000       0.000       0.000       0.000      12.900
     688.40       4.057       8.354       0.000       0.000       0.000       0.000      12.410
     688.70       3.969       7.952       0.000       0.000       0.000       0.000      11.921
     689.00       3.876       7.556       0.000       0.000       0.000       0.000      11.432
     689.10       3.844       7.425       0.000       0.000       0.000       0.000      11.268
     690.00       3.522       6.278       0.000       0.000       0.000       0.000       9.800
     690.10       3.522       6.223       0.000       0.000       0.000       0.000       9.745
     690.60       3.519       5.951       0.000       0.000       0.000       0.000       9.470
     690.80       3.559       5.916       0.000       0.000       0.000       0.000       9.475
     691.00       3.599       5.881       0.000       0.000       0.000       0.000       9.480
     691.20       3.640       5.845       0.000       0.000       0.000       0.000       9.485
     691.30       3.660       5.827       0.000       0.000       0.000       0.000       9.488
     691.40       3.680       5.810       0.000       0.000       0.000       0.000       9.490
     692.00       3.802       5.703       0.000       0.000       0.000       0.000       9.505
     692.20       3.814       5.696       0.000       0.000       0.000       0.000       9.510
     692.30       3.830       5.710       0.000       0.000       0.000       0.000       9.540
     692.40       3.847       5.723       0.000       0.000       0.000       0.000       9.570
     692.50       3.864       5.736       0.000       0.000       0.000       0.000       9.600
     692.70       3.836       5.671       0.000       0.000       0.000       0.000       9.508
     693.00       3.795       5.575       0.000       0.000       0.000       0.000       9.369
     693.80       3.681       5.319       0.000       0.000       0.000       0.000       9.000
     694.00       3.693       5.315       0.000       0.000       0.000       0.000       9.008
     694.30       3.712       5.308       0.000       0.000       0.000       0.000       9.020
     694.90       3.749       5.295       0.000       0.000       0.000       0.000       9.044
     695.00       3.755       5.293       0.000       0.000       0.000       0.000       9.048
     695.20       3.767       5.289       0.000       0.000       0.000       0.000       9.056
     695.30       3.773       5.287       0.000       0.000       0.000       0.000       9.060
     696.00       3.741       5.167       0.000       0.000       0.000       0.000       8.908
     696.50       3.960       4.840       0.000       0.000       0.000       0.000       8.800
     697.00       3.238       6.125       0.000       0.000       0.000       0.000       9.363
     697.30       2.748       6.952       0.000       0.000       0.000       0.000       9.700
     697.50       9.667      30.333       0.000       0.000       0.000       0.000      40.000
     697.70       7.417      29.668       0.000       0.000       0.000       0.000      37.086
     698.00       7.652      25.062       0.000       0.000       0.000       0.000      32.714
