Fennally et al cross sections at Hinteregger wavelengths.
     WVLN         O Ion        O2 Ion       O2 Abs       N2 Ion       N2 Abs  
   232.6000       5.3690      11.3080      11.3080       8.9230       8.9230
   233.8400       5.4040      11.4070      11.4070       9.0250       9.0250
   234.3800       5.4190      11.4500      11.4500       9.0690       9.0690
   237.1200       5.4942      11.6692      11.6692       9.2810       9.2810
   237.2000       5.4964      11.6756      11.6756       9.2871       9.2871
   237.3300       5.5000      11.6860      11.6860       9.2970       9.2970
   239.8700       5.5700      11.8900      11.8900       9.4900       9.4900
   240.7100       5.5930      11.9640      11.9640       9.5430       9.5430
   241.7400       5.6210      12.0570      12.0570       9.6040       9.6040
   243.0300       5.6560      12.1730      12.1730       9.6820       9.6820
   243.7800       5.6759      12.2398      12.2398       9.7272       9.7272
   244.9200       5.7070      12.3430      12.3430       9.7950       9.7950
   245.9400       5.7350      12.4350      12.4350       9.8410       9.8410
   246.2100       5.7422      12.4593      12.4593       9.8536       9.8536
   246.9100       5.7610      12.5220      12.5220       9.8840       9.8840
   247.1800       5.7680      12.5460      12.5460       9.8960       9.8960
   249.1800       5.8120      12.7260      12.7260       9.9840       9.9840
   251.1000       5.8810      12.8990      12.8990      10.0550      10.0550
   251.9500       5.9120      12.9760      12.9760      10.0820      10.0820
   252.1900       5.9210      12.9970      12.9970      10.0900      10.0900
   253.7800       5.9780      13.1400      13.1400      10.1410      10.1410
   256.3200       6.0510      13.3690      13.3690      10.2060      10.2060
   256.3800       6.0530      13.3740      13.3740      10.2080      10.2080
   256.6400       6.0600      13.3980      13.3980      10.2130      10.2130
   256.9200       6.0674      13.4225      13.4225      10.2184      10.2184
   257.1600       6.0740      13.4440      13.4440      10.2230      10.2230
   257.3900       6.0800      13.4650      13.4650      10.2280      10.2280
   258.3600       6.1060      13.5520      13.5520      10.2470      10.2470
   259.5200       6.1370      13.6570      13.6570      10.2700      10.2700
   261.0500       6.1870      13.8050      13.8050      10.3050      10.3050
   262.9900       6.2550      13.9990      13.9990      10.3520      10.3520
   264.2400       6.2980      14.1240      14.1240      10.3820      10.3820
   264.8000       6.3180      14.1800      14.1800      10.3950      10.3950
   270.5100       6.5180      14.7410      14.7410      10.5110      10.5110
   271.9900       6.5700      14.8590      14.8590      10.5440      10.5440
   272.6400       6.5920      14.9110      14.9110      10.5580      10.5580
   274.1900       6.6470      15.0350      15.0350      10.5920      10.5920
   275.3500       6.6870      15.1280      15.1280      10.6220      10.6220
   275.6700       6.6980      15.1540      15.1540      10.6330      10.6330
   276.1500       6.7150      15.1920      15.1920      10.6490      10.6490
   276.8400       6.7390      15.2470      15.2470      10.6730      10.6730
   277.0000       6.7450      15.2600      15.2600      10.6780      10.6780
   277.2700       6.7540      15.2820      15.2820      10.6870      10.6870
   278.4000       6.7940      15.3720      15.3720      10.7260      10.7260
   281.4100       6.9280      15.5990      15.5990      10.8190      10.8190
   284.1500       7.0780      15.7900      15.7900      10.8960      10.8960
   285.7000       7.1640      15.8990      15.8990      10.9450      10.9450
   289.1700       7.3540      16.1420      16.1420      11.0700      11.0700
   290.6900       7.4100      16.2350      16.2350      11.1230      11.1230
   291.7000       7.4260      16.2850      16.2850      11.1580      11.1580
   292.7800       7.4420      16.3390      16.3390      11.1950      11.1950
   296.1900       7.4930      16.5100      16.5100      11.3250      11.3250
   299.5000       7.5430      16.6750      16.6750      11.4770      11.4770
   303.3100       7.6810      16.7990      16.7990      11.6740      11.6740
   303.7800       7.6990      16.8130      16.8130      11.6990      11.6990
   315.0200       8.0760      17.1000      17.1000      12.3710      12.3710
   316.2000       8.1170      17.1240      17.1240      12.4560      12.4560
   319.0100       8.2150      17.1800      17.1800      12.6590      12.6590
   319.8300       8.2440      17.1970      17.1970      12.7180      12.7180
   320.5600       8.2700      17.2060      17.2060      12.7750      12.7750
   335.4100       8.7730      17.4080      17.4080      13.9850      13.9850
   345.1300       9.0890      17.6540      17.6540      14.8320      14.8320
   345.7400       9.1090      17.6720      17.6720      14.8880      14.8880
   347.3900       9.1640      17.7220      17.7220      15.0400      15.0400
   349.8500       9.2450      17.7950      17.7950      15.2660      15.2660
   356.0100       9.4420      17.9200      17.9200      15.8210      15.8210
   360.8000       9.5960      18.0320      18.0320      16.2520      16.2520
   364.4800       9.7180      18.1790      18.1790      16.5830      16.5830
   368.0700       9.8360      18.3230      18.3230      16.9060      16.9060
   399.8200      11.7770      19.5930      19.5930      20.0520      20.0520
   401.1400      11.7090      19.6460      19.6460      20.1780      20.1780
   401.9400      11.6450      19.6780      19.6780      20.2540      20.2540
   403.2600      11.5390      19.7300      19.7300      20.3800      20.3800
   417.2400      11.2100      20.2170      20.2170      21.6210      21.6210
   430.4700      11.4920      20.7140      20.7140      22.6620      22.6620
   436.7000      11.3850      20.9010      20.9010      22.9480      22.9480
   453.0000      10.7650      21.4900      21.4900      23.0850      23.0850
   454.0000      10.1760      21.5200      21.5200      23.0800      23.0800
   455.0000      12.7570      21.5500      21.5500      23.0750      23.0750
   456.0000      13.8450      21.5800      21.5800      23.0700      23.0700
   457.0000      12.6150      21.6100      21.6100      23.0650      23.0650
   458.0000      12.2440      21.6400      21.6400      23.0600      23.0600
   459.0000      11.8740      21.6700      21.6700      23.0550      23.0550
   460.0000      11.8170      21.7000      21.7000      23.0500      23.0500
   461.0000      11.8390      21.7400      21.7400      23.0720      23.0720
   462.0000      11.8600      21.7800      21.7800      23.0940      23.0940
   463.0000      11.8810      21.8200      21.8200      23.1160      23.1160
   464.0000      11.9030      21.8600      21.8600      23.1380      23.1380
   465.0000      11.9240      21.9000      21.9000      23.1600      23.1600
   465.2200      11.9290      21.9090      21.9090      23.1650      23.1650
   466.0000      11.9460      21.9400      21.9400      23.1820      23.1820
   467.0000      11.9670      21.9800      21.9800      23.2040      23.2040
   468.0000      11.9890      22.0200      22.0200      23.2260      23.2260
   469.0000      12.0100      22.0600      22.0600      23.2480      23.2480
   470.0000      12.0310      22.1000      22.1000      23.2700      23.2700
   471.0000      12.0530      22.1500      22.1500      23.3030      23.3030
   472.0000      12.0740      22.2000      22.2000      23.3360      23.3360
   473.0000      12.0960      22.2500      22.2500      23.3690      23.3690
   474.0000      11.9670      22.3000      22.3000      23.4020      23.4020
   475.0000      11.8000      22.3500      22.3500      23.4350      23.4350
   476.0000      11.4600      22.4000      22.4000      23.4680      23.4680
   477.0000      11.6140      22.4500      22.4500      23.5010      23.5010
   478.0000      12.1380      22.5000      22.5000      23.5340      23.5340
   479.0000      12.3330      22.5500      22.5500      23.5670      23.5670
   480.0000      12.2000      22.6000      22.6000      23.6000      23.6000
   481.0000      15.5670      22.6400      22.6400      23.5900      23.5900
   482.0000      13.5000      22.6800      22.6800      23.5800      23.5800
   483.0000      13.0430      22.7200      22.7200      23.5700      23.5700
   484.0000      12.9500      22.7600      22.7600      23.5600      23.5600
   485.0000      12.8610      22.8000      22.8000      23.5500      23.5500
   486.0000      12.7290      22.8400      22.8400      23.5400      23.5400
   487.0000      12.5740      22.8800      22.8800      23.5300      23.5300
   488.0000      12.3820      22.9200      22.9200      23.5200      23.5200
   489.0000      12.1910      22.9600      22.9600      23.5100      23.5100
   489.5000      12.0960      22.9800      22.9800      23.5050      23.5050
   490.0000      12.0000      23.0000      23.0000      23.5000      23.5000
   491.0000      12.1590      23.0600      23.0600      23.5000      23.5000
   492.0000      12.2570      23.1200      23.1200      23.5000      23.5000
   493.0000      12.2120      23.1800      23.1800      23.5000      23.5000
   494.0000      12.1670      23.2400      23.2400      23.5000      23.5000
   495.0000      12.1230      23.3000      23.3000      23.5000      23.5000
   496.0000      12.0780      23.3600      23.3600      23.5000      23.5000
   497.0000      12.0340      23.4200      23.4200      23.5000      23.5000
   498.0000      11.9890      23.4800      23.4800      23.5000      23.5000
   499.0000      11.9450      23.5400      23.5400      23.5000      23.5000
   499.3700      11.9280      23.5620      23.5620      23.5000      23.5000
   500.0000      11.9000      23.6000      23.6000      23.5000      23.5000
   501.0000      11.7730      23.6400      23.6400      23.5160      23.5160
   502.0000      11.7740      23.6800      23.6800      23.5320      23.5320
   503.0000      11.7900      23.7200      23.7200      23.5480      23.5480
   504.0000      11.8060      23.7600      23.7600      23.5640      23.5640
   507.9300      11.8670      23.9170      23.9170      23.7260      23.7260
   515.6000      11.9560      24.2800      24.2800      24.2500      24.2500
   520.6600      12.0070      24.5260      24.5260      24.6120      24.6120
   525.8000      12.0580      24.7320      24.7320      24.8640      24.8640
   537.0200      12.2400      25.2510      25.2510      25.2310      25.2310
   542.8000      12.3560      25.2810      25.2810      25.1320      25.1320
   550.0000      12.5000      25.9000      25.9000      24.7000      24.7000
   554.3700      12.5870      26.0410      26.0410      24.1320      24.1320
   558.6000      12.6720      26.1000      26.1000      23.5820      23.5820
   562.8000      12.7560      26.0440      26.0440      23.1480      23.1480
   568.5000      12.8700      25.8600      25.8600      22.6350      22.6350
   572.3000      12.9230      25.6620      25.6620      22.4770      22.4770
   580.4000      13.0080      24.6080      24.6080      22.4000      22.4000
   584.3300      13.0870      22.7220      22.7220      22.4000      22.4000
   592.4000      13.2240      20.8050      20.8050      22.4430      22.4430
   599.6000      13.2960      28.4910      28.4910      22.5730      22.5730
   609.7600      13.3980      26.3900      28.0750      22.7950      22.7950
   616.6000      13.4000      25.6880      26.4280      22.9980      22.9980
   624.9300      13.4000      24.7500      26.0580      23.2380      23.2380
